station,date_time,longitude,latitude,bot.depth[m],depth(m),총질소[μg/L],염분[psu],수온[℃],클로로필-a[μg/L],부유물질 농도[mg/L],용존산소[mg/L],수소이온농도[무단위],규산염[μg/L],아질산성질소[μg/L],인산염인[μg/L],질산성질소[μg/L],투명도[m],용존무기질소[μg/L],화학적산소요구량[mg/L],암모니아성 질소[μg/L],총인[μg/L]
가로림연안1_연안,2018-02-08,126.3269444,36.94638889,0,0.0,265.0,31.97,0.25,0.85,49.8,10.33,8.26,,2.6,,,1.6,167.4,1.59,4.2,30.0
가로림연안1_연안,2018-02-08,126.3269444,36.94638889,0,14.0,287.6,31.97,0.21,0.96,24.2,10.48,8.26,,2.6,,,,171.9,2.05,5.0,33.7
가로림연안1_연안,2018-05-15,126.3269444,36.94638889,0,0.0,242.1,31.69,10.42,4.17,64.3,7.7,8.07,43.3,1.2,1.2,92.3,1.1,105.1,2.4,11.6,25.4
가로림연안1_연안,2018-05-15,126.3269444,36.94638889,0,23.0,243.9,31.73,10.07,4.7,62.3,7.47,8.07,40.9,1.3,1.3,96.9,,110.1,2.14,12.0,27.0
가로림연안1_연안,2018-08-13,126.3269444,36.94638889,0,0.0,185.7,31.61,25.37,1.99,36.8,7.88,7.98,,2.6,,11.6,0.9,37.8,1.39,23.6,31.2
가로림연안1_연안,2018-08-13,126.3269444,36.94638889,0,15.0,193.0,31.59,23.77,2.07,32.1,7.77,8.02,,2.7,,7.6,,29.5,1.87,19.2,31.1
가로림연안1_연안,2018-11-12,126.3269444,36.94638889,0,0.0,286.8,31.44,15.3,0.72,14.8,7.85,8.13,,9.5,,,1.4,147.4,1.27,11.0,34.8
가로림연안1_연안,2018-11-12,126.3269444,36.94638889,0,20.0,250.0,31.44,15.26,0.68,15.7,7.82,8.14,1.3,0.9,,121.2,,131.4,1.55,9.3,29.4
가로림연안2_연안,2018-02-08,126.3133333,36.99,0,0.0,323.9,31.88,2.34,0.84,22.3,10.65,8.24,,4.3,,,1.5,309.2,1.19,5.1,41.5
가로림연안2_연안,2018-02-08,126.3133333,36.99,0,24.0,310.0,31.88,2.1,1.0,53.3,10.27,8.24,,4.3,,,,236.5,1.54,6.0,57.7
가로림연안2_연안,2018-05-15,126.3133333,36.99,0,0.0,248.0,31.75,9.72,3.87,52.7,7.36,8.06,33.1,1.1,1.1,99.1,1.7,104.6,1.93,4.4,24.2
가로림연안2_연안,2018-05-15,126.3133333,36.99,0,26.0,247.6,31.74,9.73,4.02,50.0,7.96,8.07,33.0,1.3,1.3,97.9,,104.1,2.17,5.0,25.8
가로림연안2_연안,2018-08-13,126.3133333,36.99,0,0.0,206.8,31.63,24.3,1.55,12.1,7.91,8.07,,1.8,,8.7,1.5,26.5,1.4,16.0,29.7
가로림연안2_연안,2018-08-13,126.3133333,36.99,0,11.0,170.6,31.78,23.79,1.76,8.2,8.33,8.1,108.3,1.8,,4.0,,15.9,1.68,10.1,21.9
가로림연안2_연안,2018-11-12,126.3133333,36.99,0,0.0,303.8,31.32,16.1,0.76,7.3,7.55,8.13,,12.6,,,2.0,177.8,1.36,8.2,35.5
가로림연안2_연안,2018-11-12,126.3133333,36.99,0,20.0,258.2,31.47,15.59,0.75,20.1,7.74,8.13,2.0,0.6,,123.8,,155.6,1.43,31.2,29.3
가로림연안3_연안,2018-02-01,126.2,36.94166667,0,0.0,316.7,31.85,3.35,0.12,25.4,10.33,8.15,,3.8,,,0.9,197.3,1.63,3.4,38.7
가로림연안3_연안,2018-02-01,126.2,36.94166667,0,25.0,281.1,31.85,3.31,0.44,36.7,10.42,8.16,,3.8,,,,195.7,2.1,3.5,33.2
가로림연안3_연안,2018-05-15,126.2,36.94166667,0,0.0,258.8,31.76,9.06,2.59,27.3,8.01,8.05,18.8,0.5,0.5,62.3,2.2,67.7,2.38,4.8,24.1
가로림연안3_연안,2018-05-15,126.2,36.94166667,0,27.0,255.8,31.76,9.08,2.77,29.0,6.89,8.06,40.0,1.5,1.5,109.7,,114.5,2.43,3.4,24.2
가로림연안3_연안,2018-08-13,126.2,36.94166667,0,0.0,157.9,31.41,22.81,1.77,5.1,8.65,8.03,59.8,1.1,,4.5,4.7,14.4,1.64,8.8,18.9
가로림연안3_연안,2018-08-13,126.2,36.94166667,0,23.0,162.4,31.45,22.4,1.71,4.8,8.62,8.05,48.8,1.6,,2.2,,11.1,2.14,7.3,18.7
가로림연안3_연안,2018-11-13,126.2,36.94166667,0,0.0,264.1,31.73,16.36,0.76,15.8,7.78,7.91,,3.0,,123.8,1.1,128.8,1.38,2.1,32.6
가로림연안3_연안,2018-11-13,126.2,36.94166667,0,26.0,286.6,31.73,16.35,0.79,14.9,7.62,7.92,,34.7,,118.2,,157.4,1.54,4.6,31.6
가로림연안4_연안,2018-02-08,126.3336111,36.9225,0,0.0,290.1,31.99,-0.15,2.2,9.3,10.26,8.27,,2.7,,,2.5,184.9,1.25,4.0,33.3
가로림연안4_연안,2018-02-08,126.3336111,36.9225,0,17.0,296.5,31.99,-0.22,1.93,19.8,10.32,8.28,,2.7,,,,161.8,2.02,4.8,32.5
가로림연안4_연안,2018-05-15,126.3336111,36.9225,0,0.0,198.7,31.52,12.74,2.66,30.3,7.89,8.05,76.2,1.3,1.3,79.5,1.7,93.0,2.43,12.2,20.7
가로림연안4_연안,2018-05-15,126.3336111,36.9225,0,20.0,239.1,31.64,11.18,3.0,35.3,7.37,8.06,67.1,1.4,1.4,81.1,,89.2,2.56,6.6,24.9
